id,x,y,value
1,-0.495830204022125,-0.0521138544153697,0.94
2,-0.38310597759161,0.0335174299682824,0.89
3,-0.109194747753214,-0.101825749606869,0.93
4,-0.126792351117571,0.414719093656669,0.97
5,0.214041132596135,-0.104394835660682,0.1
6,-0.0418526767099497,-0.798596645049854,0.06
7,-0.00263950860938635,-0.151217346955806,0.13
8,-0.250209188469018,0.933793403886951,0.16
9,0.447750005221791,0.46365870340705,0.47
10,0.548259509338583,0.136696448503171,0.42
11,-0.106564694771257,-0.501347471628238,0.18
12,0.0646670015861166,0.615265421252106,0.21
13,0.462258057783266,-0.186764378448063,0.94
14,0.322527020496602,-0.209451496121862,0.89
15,-0.142781059795549,-0.043652550710683,0.93
16,0.067840674380854,0.428329160628694,0.97
17,-0.122652495683296,0.204128032024796,0.1
18,0.470047514272561,0.646964900407168,0.06
19,-0.120785939297643,-0.0910187337532094,0.13
20,0.581795085797071,0.772068155851206,0.16
21,0.616397178361426,0.188451529389634,0.47
22,0.545790324781945,-0.146244076762042,0.42
23,0.315555979283569,-0.403893235172497,0.18
24,-0.429753509618297,0.445022786667634,0.21
25,0.194803448831955,-0.458928165801386,0.94
26,0.079956470071603,-0.376165616546476,0.89
27,0.133031708788533,0.0677830412174893,0.93
28,0.00756855608493677,-0.43360228770628,0.97
29,-0.23106872710211,-0.0576119042478851,0.1
30,-0.481267018151973,0.638662904255272,0.06
31,0.0823714154890965,-0.126840856731474,0.13
32,-0.729603463000698,0.634234614251298,0.16
33,0.0561772317586669,0.642108697225908,0.47
34,0.34005180108572,0.451263981713499,0.42
35,0.224686198598861,0.460674976137093,0.18
36,-0.21159229227633,-0.581345045159859,0.21
