id,x,y,value
1,-0.0144720524005286,0.414425358065166,0.25
2,0.11321715231153,0.0527940251573676,0.23

3,0.179992393487301,0.199901804781057,0.58
4,0.124245035087586,0.0869973101534578,0.61

5,0.186246644930295,-0.0195753111861966,0.69
6,-0.266954593527563,-0.1078566568923,0.66

7,-0.108412737067578,-0.0731253144862802,0.64
8,-0.0415677981332537,0.166719332201921,0.66

9,0.0980721276522003,-0.0208458742494152,0.49
10,-0.391420660661303,-0.87914519791117,0.46

11,0.0970831641895646,0.081462447264987,0.15
12,0.625905924392933,0.0879653410593549,0.18

13,-0.297511959488201,-0.0853101815913029,0.55
14,0.696623131924256,0.339765803388275,0.52

15,0.287532183717101,0.0611168523403801,0.03
16,-0.332647947054324,-0.441438735561102,0.05

17,-0.0474285405959512,-0.678259730105616,0.19
18,-0.507345807223166,-0.071302803229902,0.17

19,-0.157909114316133,0.633338864930678,0.23
20,-0.0132679061490478,0.760117834199425,0.26

21,-0.26162765990262,0.718816087887203,0.44
22,0.410686881636086,-0.39659571155649,0.41

23,-0.340749659216863,-0.936201994385188,0.92
24,-0.134868427461406,0.85152573816629,0.94

25,0.351666861856631,0.21974584405634,0.25
26,0.10232954311008,-0.0716519174672336,0.23

27,-0.245738622501984,-0.109409883826089,0.58
28,-0.148888481327352,-0.0289409890274561,0.61

29,0.14345909131098,0.120376470608071,0.69
30,-0.107856656892299,-0.266954593527563,0.66

31,0.110898731629154,-0.0692972185606759,0.64
32,-0.1353985419615,-0.105784934684487,0.66

33,-0.0617281387322154,0.0790084146411525,0.49
34,0.86494926235427,0.421863942706181,0.46

35,-0.119090130880711,0.0433452628354451,0.15
36,-0.389133182206431,0.498067760373785,0.18

37,-0.306489476065429,0.043074286793734,0.55
38,0.774592100160266,0.0270493521798253,0.52

39,0.292345502984605,0.0307267505245565,0.03
40,-0.37696857944985,-0.404249309264472,0.05

41,-0.678259730105616,-0.0474285405959517,0.19
42,-0.141217778500671,0.492484920470366,0.17

43,0.652330042136416,-0.0227798670339877,0.23
44,0.734329288983653,-0.19676293996169,0.26

45,-1.87352061511392e-16,0.764948103227653,0.44
46,0.25027571001811,-0.513141249704116,0.41

47,-0.947523677033758,0.307869105315295,0.92
48,0.846300171454594,0.164504088950649,0.94

49,-0.372710089380532,-0.181782856678181,0.25
50,-0.0942793063429758,0.081955750654462,0.23

51,0.0281175724324947,0.267520831690757,0.58
52,0.0493806089552522,0.1434117016741,0.61

53,-0.151506670286158,-0.11007603923938,0.69
54,0.126215734591246,0.258780605500184,0.66

55,0.122883030147397,0.044725765270089,0.64
56,2.10415802100958e-17,-0.171823216043413,0.66

57,0.0850279457610124,0.0531313573618653,0.49
58,0.329141110689301,-0.90430776943307,0.46

59,1.55198123011848e-17,-0.1267330702045,0.15
60,-0.334939212323593,-0.536014786611258,0.18

61,0.214997824050817,-0.222636764203632,0.55
62,-0.627040148654739,0.455571334764471,0.52

63,0.254573210952842,0.146977911872091,0.03
64,-0.179954926414452,-0.522627054784203,0.05

65,0.65971956112009,-0.164486560610652,0.19
66,-0.0178801214389487,-0.512019686255027,0.17

67,-0.453422736952211,-0.469532989075902,0.23
68,-0.63758556308295,-0.414052905979178,0.26

69,0.698814865035945,-0.311132423634016,0.44
70,-0.570574159932421,-0.0199248887169481,0.41

71,-0.138656122014253,-0.986589572403429,0.92
72,-0.30896338473311,0.804877134959006,0.94
