id,x,y,value
1,0.421321812917255,0.112892839524795,0.95
2,0.270377417587508,-0.358802951892602,0.89
3,0.180745872853893,0.174544260507711,0.76
4,0.0321527460032107,-0.261863102060823,0.86
5,-0.159477666050947,-0.299933867173679,0.37
6,-0.20555547309924,-0.253839869240469,0.27
7,0.151303888752146,0.374490265921199,0.84
8,-0.0674390686366709,-0.382465963891102,0.93
9,0.634923786383441,-0.366573418983376,0.86
10,0.422269624262816,-0.626040463120591,0.78
11,0.286150008372823,0.424234833553141,0.88
12,-0.0367666325604464,-0.525787341630105,0.98
13,-0.211096673444638,0.522482601242735,0.61
14,0.237527881166499,0.487004327237864,0.52
15,0.632400157086787,-0.181337826997781,0.7
16,-0.626175962446482,-0.0218665464458673,0.76
17,-0.417125251771828,-0.127527987477817,0.95
18,-0.282734753406491,0.349148343035314,0.89
19,-0.0306216628602008,0.249393430534117,0.76
20,0.228483177657236,-0.131914824125706,0.86
21,0.017778321018297,0.339230573428437,0.37
22,0.0790191616389505,0.31692854688549,0.27
23,0.318278144311332,0.248666139381675,0.84
24,-0.24963692859247,-0.297505706494261,0.93
25,0.238689262982936,-0.693203953939466,0.86
26,-0.0920285674754453,-0.74951253479026,0.78
27,0.483840454063555,0.166599628760692,0.88
28,-0.345789859523809,-0.397785729933581,0.98
29,0.315113945699998,0.46717563652886,0.61
30,0.536568790801829,0.0754098257345421,0.52
31,0.318949232343741,0.575399646655269,0.7
32,-0.119552834680032,-0.615046015773793,0.76
33,0.381495504723,-0.211466411356501,0.95
34,-0.0547522362941147,-0.445921180085593,0.89
35,0.00438520214427541,-0.251228062588663,0.76
36,-0.213442669055357,0.155075176359691,0.86
37,0.28489313382024,0.185011764352699,0.37
38,0.302846878292809,0.122358081242603,0.27
39,0.318278144311332,-0.248666139381675,0.84
40,-0.349061154530871,0.17024850046713,0.93
41,-0.621743780140808,0.388508632950242,0.86
42,-0.40016389193875,0.640396093545031,0.78
43,-0.278702507600526,-0.429164226781317,0.88
44,0.0275847784385171,0.526348927886041,0.98
45,0.506484500327378,-0.247028996413159,0.61
46,0.149351884988567,-0.520851920923992,0.52
47,0.422880665126692,-0.503969551903364,0.7
48,-0.531351017494891,0.332024965938394,0.76
